vi,ts,te,category
0.7,1699254000,1699261259,station
0.7,1699340400,1699347659,station
0.7,1699426800,1699434059,station
0.7,1699513200,1699520459,station
0.7,1699599600,1699606859,station
0.3,1699272000,1699279259,station
0.3,1699358400,1699365659,station
0.3,1699444800,1699452059,station
0.3,1699531200,1699538459,station
0.3,1699617600,1699624859,station
0.7,1699290000,1699297259,station
0.7,1699376400,1699383659,station
0.7,1699462800,1699470059,station
0.7,1699549200,1699556459,station
0.7,1699635600,1699642859,station
0.3,1699693200,1699732859,station
0.3,1699779600,1699819259,station
0.5,1699254000,1699261259,bus_station
0.5,1699340400,1699347659,bus_station
0.5,1699426800,1699434059,bus_station
0.5,1699513200,1699520459,bus_station
0.5,1699599600,1699606859,bus_station
0.2,1699272000,1699279259,bus_station
0.2,1699358400,1699365659,bus_station
0.2,1699444800,1699452059,bus_station
0.2,1699531200,1699538459,bus_station
0.2,1699617600,1699624859,bus_station
0.5,1699290000,1699297259,bus_station
0.5,1699376400,1699383659,bus_station
0.5,1699462800,1699470059,bus_station
0.5,1699549200,1699556459,bus_station
0.5,1699635600,1699642859,bus_station
0.5,1699261200,1699290059,attraction
0.5,1699347600,1699376459,attraction
0.5,1699434000,1699462859,attraction
0.5,1699520400,1699549259,attraction
0.5,1699606800,1699635659,attraction
0.7,1699693200,1699722059,attraction
0.7,1699779600,1699808459,attraction
0.6,1699272000,1699279259,mall
0.6,1699358400,1699365659,mall
0.6,1699444800,1699452059,mall
0.6,1699531200,1699538459,mall
0.6,1699617600,1699624859,mall
0.7,1699290000,1699300859,mall
0.7,1699376400,1699387259,mall
0.7,1699462800,1699473659,mall
0.7,1699549200,1699560059,mall
0.7,1699635600,1699646459,mall
0.2,1699693200,1699732859,mall
0.2,1699779600,1699819259,mall
0.8,1699254000,1699261259,university
0.8,1699340400,1699347659,university
0.8,1699426800,1699434059,university
0.8,1699513200,1699520459,university
0.8,1699599600,1699606859,university
0.6,1699272000,1699275600,university
0.6,1699358400,1699362000,university
0.6,1699444800,1699448400,university
0.6,1699531200,1699534800,university
0.6,1699617600,1699621200,university
0.8,1699290000,1699297259,university
0.8,1699376400,1699383659,university
0.8,1699462800,1699470059,university
0.8,1699549200,1699556459,university
0.8,1699635600,1699642859,university
0.6,1699254000,1699261259,industrial
0.6,1699340400,1699347659,industrial
0.6,1699426800,1699434059,industrial
0.6,1699513200,1699520459,industrial
0.6,1699599600,1699606859,industrial
0.2,1699272000,1699275600,industrial
0.2,1699358400,1699362000,industrial
0.2,1699444800,1699448400,industrial
0.2,1699531200,1699534800,industrial
0.2,1699617600,1699621200,industrial
0.6,1699290000,1699297259,industrial
0.6,1699376400,1699383659,industrial
0.6,1699462800,1699470059,industrial
0.6,1699549200,1699556459,industrial
0.6,1699635600,1699642859,industrial
0.8,1699254000,1699264859,hospital
0.8,1699340400,1699351259,hospital
0.8,1699426800,1699437659,hospital
0.8,1699513200,1699524059,hospital
0.8,1699599600,1699610459,hospital
0.4,1699264800,1699286459,hospital
0.4,1699351200,1699372859,hospital
0.4,1699437600,1699459259,hospital
0.4,1699524000,1699545659,hospital
0.4,1699610400,1699632059,hospital
0.8,1699286400,1699297259,hospital
0.8,1699372800,1699383659,hospital
0.8,1699459200,1699470059,hospital
0.8,1699545600,1699556459,hospital
0.8,1699632000,1699642859,hospital
0.2,1699660800,1699747140,hospital
0.2,1699747200,1699833540,hospital
0.4,1699257600,1699264859,school
0.4,1699344000,1699351259,school
0.4,1699430400,1699437659,school
0.4,1699516800,1699524059,school
0.4,1699603200,1699610459,school
0.4,1699286400,1699293659,school
0.4,1699372800,1699380059,school
0.4,1699459200,1699466459,school
0.4,1699545600,1699552859,school
0.4,1699632000,1699639259,school
